tau,caar,n_events
-10,0.0009912499248769238,2270
-9,2.643130498630535e-05,2270
-8,-2.0114113919904208e-05,2270
-7,-6.995206827073023e-05,2270
-6,-0.0004904130865081893,2270
-5,-0.0007105608319588658,2270
-4,0.0016682321332193144,2270
-3,0.0005878382627611444,2270
-2,-0.0005470507968874418,2270
-1,0.0009944365345056101,2270
0,-0.0022996419286585566,2270
1,0.0005142475000644217,2270
2,0.00016736863727406245,2270
3,0.001313027526426624,2270
4,0.0007679602786903609,2270
5,-0.001066848172704228,2270
